Quantity,References,Description,Manufacturer,Part Number,Vendor,Vendor Part Number
1,BZ1,"BUZ, SMD, 2.7kHz, 5V, 30mA",CUI,CMI-9655S-SMT-TR,Mouser,490-CMI-9655S-SMT-TR
8,C1 C3 C4 C6 C7 C9 C10 C11,"CAP, 0603, .1uF, 10%, X7R, 50V",Yageo,CC0603KRX7R9BB104,Mouser,603-CC603KRX7R9BB104
3,C2 C5 C8,"CAP, 0603, .01uF, 10%, X7R, 50V",Murata Electronics,CC0603KRX7R9BB103,Mouser,603-CC603KRX7R9BB103
1,C12,"CAP, SMD10X8, 330uF, 20%, EC, 20V",Nichicon,PCR1D331MCL1GS,Mouser,647-PCR1D331MCL1GS
2,C13 C17,"CAP, 0805, 22uf, 20%, X5R, 25V",Taiyo Yuden,TMK212BBJ226MG-TT,Mouser,963-TMK212BBJ226MGTT
1,C14,"CAP, 0603, 3300pF, 5%, X7R, 10V",Vishay,VJ0603Y332JXQPW1BC,Mouser,77-VJ0603Y332JXQPBC
2,C15 C16,"CAP, 0805, 2.2uF, 10%, X7R, 16V",Yageo,CC0805KKX7R7BB225,Mouser,603-CC805KKX7R7BB225
3,D1 D2 D3,"TVS, SOT23, ESD TVS Protection",On Semi,NUP2105LT1G,Mouser,863-NUP2105LT1G
1,D4,"DIODE, DFS, Bridge Diode, 2A, 600V",Comchip,DF206ST-G,Mouser,750-DF206ST-G
6,FB1 FB2 FB3 FB4 FB5 FB6,"BEAD, 0603, .3A, 1k@100MHz",TDK,MMZ1608B102CTD25,Mouser,810-MMZ1608B102CTD25
1,J1,"CON, THT, Dual Row Socket, 2.54mm, 40 Pos",Adafruit,2222,Mouser,485-2222
1,J2,"CON, SMD, Barrel Jack, 2.0mm center",CUI,PJ-036AH-SMT-TR,Mouser,490-PJ-036AH-SMT-TR
1,Q1,"IC, SOT23, Inductive Load Driver",On Semi,NUD3124LT1G,Mouser,863-NUD3124LT1G
1,Q2,"TRANSISTOR, SOT363, Bipolar, PNP, Dual Matched",Diodes Inc,BCM857BS-7-F,Mouser,621-BCM857BS-7-F
1,Q3,"TRANSISTOR, SOT23, Mosfet, P-CH, -5A, -20V",Diodes Inc,DMG2305UX-7,Mouser,621-DMG2305UX-7
2,R1 R5,"RES, 0603, 4.7k, 1%, T100",Panasonic,ERJ-3EKF4701V,Mouser,667-ERJ-3EKF4701V
2,R2 R3,"RES, 0603, 3.9k, 1%, T100",Panasonic,ERJ-3EKF3901V,Mouser,667-ERJ-3EKF3901V
1,R4,"RES, 0603, 1k, 1%, T100",Panasonic,ERJ-3EKF1001V,Mouser,667-ERJ-3EKF1001V
1,R6,"RES, 0603, 47k, 1%, T100",Panasonic,ERJ-3EKF4702V,Mouser,667-ERJ-3EKF4702V
1,R7,"RES, 0603, 10k, 1%, T100",Panasonic,ERJ-3EKF1002V,Mouser,667-ERJ-3EKF1002V
1,R8,"RES, 0603, 44.2k, 1%, T100",Panasonic,ERJ-3EKF4422V,Mouser,667-ERJ-3EKF4422V
1,R9,"RES, 0603, 232k, 1%, T100",Yageo,RC0603FR-07232KL,Mouser,603-RC0603FR-07232KL
1,SW1,"SW, SMD, Push Button",Omron,B3U-1000P,Mouser,653-B3U-1000P
3,U1 U2 U3,"IC, TDFN10, 1-Wire Thermocouple Converter",Maxim,MAX31850KATB+,Mouser,700-MAX31850KATB+
1,U4,"IC, TO92, 1-Wire Temperature Sensor",Maxim,DS18S20+,Mouser,700-DS18S20
1,U5,"IC, DFN8, I2C Serial EEPROM, 32kbit",Atmel,AT24CS32-MAHM-E,Mouser,556-AT24CS32-MAHM-E
1,U6,"MODULE, SMD, Simple Switcher, 17V, .65A",TI,LMZ21700SILR,Mouser,595-LMZ21700SILR
1,U7,"IC, SOT89-3, LDO VREG, 16V, .15A",Microchip,MCP1754ST-3302E/MB,Mouser,579-MCP1754ST3302EMB
